Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_AC_0,6,Ocorrencia
0,2,ligacao_ocorrencia_AC_1,7,Ocorrencia
0,3,ligacao_ocorrencia_AC_2,2,Ocorrencia
0,4,ligacao_ocorrencia_AC_3,11,Ocorrencia
0,5,ligacao_ocorrencia_AC_4,18,Ocorrencia
0,6,ligacao_ocorrencia_AC_5,5,Ocorrencia
0,7,ligacao_ocorrencia_AC_6,1,Ocorrencia
0,8,ligacao_categoria_AC_0,29,Categoria
0,9,ligacao_categoria_AC_1,59,Categoria
0,10,ligacao_categoria_AC_2,4,Categoria
0,11,ligacao_evento_AC_0,7,Ocorrencia
0,12,ligacao_evento_AC_1,7,Ocorrencia
0,13,ligacao_evento_AC_2,7,Ocorrencia
0,14,ligacao_evento_AC_3,161,Ocorrencia
0,15,ligacao_evento_AC_4,7,Ocorrencia
0,16,ligacao_evento_AC_5,161,Ocorrencia
0,17,ligacao_evento_AC_6,161,Ocorrencia
0,18,ligacao_evento_AC_7,63,Ocorrencia
0,19,ligacao_evento_AC_8,7,Ocorrencia
0,20,ligacao_evento_AC_9,7,Ocorrencia
0,21,ligacao_evento_AC_10,7,Ocorrencia
0,22,ligacao_evento_AC_11,7,Ocorrencia
0,23,ligacao_evento_AC_12,161,Ocorrencia
0,24,ligacao_evento_AC_13,161,Ocorrencia
0,25,ligacao_evento_AC_14,7,Ocorrencia
