Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_AL_7,1,Ocorrencia
0,2,ligacao_ocorrencia_AL_8,3,Ocorrencia
0,3,ligacao_ocorrencia_AL_9,3,Ocorrencia
0,4,ligacao_ocorrencia_AL_10,15,Ocorrencia
0,5,ligacao_ocorrencia_AL_11,23,Ocorrencia
0,6,ligacao_ocorrencia_AL_12,1,Ocorrencia
0,7,ligacao_ocorrencia_AL_13,2,Ocorrencia
0,8,ligacao_categoria_AL_3,69,Categoria
0,9,ligacao_categoria_AL_4,20,Categoria
0,10,ligacao_evento_AL_15,7,Ocorrencia
0,11,ligacao_evento_AL_16,7,Ocorrencia
0,12,ligacao_evento_AL_17,7,Ocorrencia
0,13,ligacao_evento_AL_18,721,Ocorrencia
0,14,ligacao_evento_AL_19,7,Ocorrencia
0,15,ligacao_evento_AL_20,721,Ocorrencia
0,16,ligacao_evento_AL_21,721,Ocorrencia
0,17,ligacao_evento_AL_22,63,Ocorrencia
0,18,ligacao_evento_AL_23,7,Ocorrencia
0,19,ligacao_evento_AL_24,7,Ocorrencia
0,20,ligacao_evento_AL_25,7,Ocorrencia
0,21,ligacao_evento_AL_26,7,Ocorrencia
0,22,ligacao_evento_AL_27,721,Ocorrencia
0,23,ligacao_evento_AL_28,721,Ocorrencia
0,24,ligacao_evento_AL_29,7,Ocorrencia
