Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_AM_14,1,Ocorrencia
0,2,ligacao_ocorrencia_AM_15,2,Ocorrencia
0,3,ligacao_ocorrencia_AM_16,10,Ocorrencia
0,4,ligacao_ocorrencia_AM_17,14,Ocorrencia
0,5,ligacao_ocorrencia_AM_18,6,Ocorrencia
0,6,ligacao_ocorrencia_AM_19,2,Ocorrencia
0,7,ligacao_ocorrencia_AM_20,2,Ocorrencia
0,8,ligacao_ocorrencia_AM_21,1,Ocorrencia
0,9,ligacao_categoria_AM_5,2,Categoria
0,10,ligacao_categoria_AM_6,152,Categoria
0,11,ligacao_categoria_AM_7,8,Categoria
0,12,ligacao_evento_AM_30,7,Ocorrencia
0,13,ligacao_evento_AM_31,7,Ocorrencia
0,14,ligacao_evento_AM_32,7,Ocorrencia
0,15,ligacao_evento_AM_33,441,Ocorrencia
0,16,ligacao_evento_AM_34,7,Ocorrencia
0,17,ligacao_evento_AM_35,441,Ocorrencia
0,18,ligacao_evento_AM_36,441,Ocorrencia
0,19,ligacao_evento_AM_37,63,Ocorrencia
0,20,ligacao_evento_AM_38,7,Ocorrencia
0,21,ligacao_evento_AM_39,7,Ocorrencia
0,22,ligacao_evento_AM_40,7,Ocorrencia
0,23,ligacao_evento_AM_41,7,Ocorrencia
0,24,ligacao_evento_AM_42,441,Ocorrencia
0,25,ligacao_evento_AM_43,441,Ocorrencia
0,26,ligacao_evento_AM_44,7,Ocorrencia
