Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_AP_22,2,Ocorrencia
0,2,ligacao_ocorrencia_AP_23,3,Ocorrencia
0,3,ligacao_ocorrencia_AP_24,4,Ocorrencia
0,4,ligacao_ocorrencia_AP_25,2,Ocorrencia
0,5,ligacao_categoria_AP_8,18,Categoria
0,6,ligacao_categoria_AP_9,13,Categoria
0,7,ligacao_evento_AP_45,7,Ocorrencia
0,8,ligacao_evento_AP_46,7,Ocorrencia
0,9,ligacao_evento_AP_47,7,Ocorrencia
0,10,ligacao_evento_AP_48,119,Ocorrencia
0,11,ligacao_evento_AP_49,7,Ocorrencia
0,12,ligacao_evento_AP_50,119,Ocorrencia
0,13,ligacao_evento_AP_51,119,Ocorrencia
0,14,ligacao_evento_AP_52,63,Ocorrencia
0,15,ligacao_evento_AP_53,7,Ocorrencia
0,16,ligacao_evento_AP_54,7,Ocorrencia
0,17,ligacao_evento_AP_55,7,Ocorrencia
0,18,ligacao_evento_AP_56,7,Ocorrencia
0,19,ligacao_evento_AP_57,119,Ocorrencia
0,20,ligacao_evento_AP_58,119,Ocorrencia
0,21,ligacao_evento_AP_59,7,Ocorrencia
