Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_BA_26,11,Ocorrencia
0,2,ligacao_ocorrencia_BA_27,7,Ocorrencia
0,3,ligacao_ocorrencia_BA_28,1,Ocorrencia
0,4,ligacao_ocorrencia_BA_29,18,Ocorrencia
0,5,ligacao_ocorrencia_BA_30,6,Ocorrencia
0,6,ligacao_ocorrencia_BA_31,19,Ocorrencia
0,7,ligacao_ocorrencia_BA_32,15,Ocorrencia
0,8,ligacao_ocorrencia_BA_33,6,Ocorrencia
0,9,ligacao_ocorrencia_BA_34,5,Ocorrencia
0,10,ligacao_ocorrencia_BA_35,2,Ocorrencia
0,11,ligacao_categoria_BA_10,160,Categoria
0,12,ligacao_categoria_BA_11,79,Categoria
0,13,ligacao_evento_BA_60,7,Ocorrencia
0,14,ligacao_evento_BA_61,7,Ocorrencia
0,15,ligacao_evento_BA_62,7,Ocorrencia
0,16,ligacao_evento_BA_63,2926,Ocorrencia
0,17,ligacao_evento_BA_64,7,Ocorrencia
0,18,ligacao_evento_BA_65,2926,Ocorrencia
0,19,ligacao_evento_BA_66,2926,Ocorrencia
0,20,ligacao_evento_BA_67,63,Ocorrencia
0,21,ligacao_evento_BA_68,7,Ocorrencia
0,22,ligacao_evento_BA_69,7,Ocorrencia
0,23,ligacao_evento_BA_70,7,Ocorrencia
0,24,ligacao_evento_BA_71,7,Ocorrencia
0,25,ligacao_evento_BA_72,2926,Ocorrencia
0,26,ligacao_evento_BA_73,2926,Ocorrencia
0,27,ligacao_evento_BA_74,7,Ocorrencia
