Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_CE_36,14,Ocorrencia
0,2,ligacao_ocorrencia_CE_37,48,Ocorrencia
0,3,ligacao_ocorrencia_CE_38,18,Ocorrencia
0,4,ligacao_ocorrencia_CE_39,5,Ocorrencia
0,5,ligacao_ocorrencia_CE_40,19,Ocorrencia
0,6,ligacao_ocorrencia_CE_41,27,Ocorrencia
0,7,ligacao_ocorrencia_CE_42,24,Ocorrencia
0,8,ligacao_ocorrencia_CE_43,3,Ocorrencia
0,9,ligacao_ocorrencia_CE_44,1,Ocorrencia
0,10,ligacao_categoria_CE_12,106,Categoria
0,11,ligacao_categoria_CE_13,39,Categoria
0,12,ligacao_evento_CE_75,7,Ocorrencia
0,13,ligacao_evento_CE_76,7,Ocorrencia
0,14,ligacao_evento_CE_77,7,Ocorrencia
0,15,ligacao_evento_CE_78,1295,Ocorrencia
0,16,ligacao_evento_CE_79,7,Ocorrencia
0,17,ligacao_evento_CE_80,1295,Ocorrencia
0,18,ligacao_evento_CE_81,1295,Ocorrencia
0,19,ligacao_evento_CE_82,63,Ocorrencia
0,20,ligacao_evento_CE_83,7,Ocorrencia
0,21,ligacao_evento_CE_84,7,Ocorrencia
0,22,ligacao_evento_CE_85,7,Ocorrencia
0,23,ligacao_evento_CE_86,7,Ocorrencia
0,24,ligacao_evento_CE_87,1295,Ocorrencia
0,25,ligacao_evento_CE_88,1295,Ocorrencia
0,26,ligacao_evento_CE_89,7,Ocorrencia
