Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_DF_45,2,Ocorrencia
0,2,ligacao_ocorrencia_DF_46,36,Ocorrencia
0,3,ligacao_ocorrencia_DF_47,26,Ocorrencia
0,4,ligacao_ocorrencia_DF_48,8,Ocorrencia
0,5,ligacao_ocorrencia_DF_49,15,Ocorrencia
0,6,ligacao_ocorrencia_DF_50,10,Ocorrencia
0,7,ligacao_ocorrencia_DF_51,34,Ocorrencia
0,8,ligacao_ocorrencia_DF_52,1,Ocorrencia
0,9,ligacao_categoria_DF_14,58,Categoria
0,10,ligacao_categoria_DF_15,21,Categoria
0,11,ligacao_evento_DF_90,7,Ocorrencia
0,12,ligacao_evento_DF_91,7,Ocorrencia
0,13,ligacao_evento_DF_92,7,Ocorrencia
0,14,ligacao_evento_DF_93,238,Ocorrencia
0,15,ligacao_evento_DF_94,7,Ocorrencia
0,16,ligacao_evento_DF_95,238,Ocorrencia
0,17,ligacao_evento_DF_96,238,Ocorrencia
0,18,ligacao_evento_DF_97,63,Ocorrencia
0,19,ligacao_evento_DF_98,7,Ocorrencia
0,20,ligacao_evento_DF_99,7,Ocorrencia
0,21,ligacao_evento_DF_100,7,Ocorrencia
0,22,ligacao_evento_DF_101,7,Ocorrencia
0,23,ligacao_evento_DF_102,238,Ocorrencia
0,24,ligacao_evento_DF_103,238,Ocorrencia
0,25,ligacao_evento_DF_104,7,Ocorrencia
