Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_ES_53,35,Ocorrencia
0,2,ligacao_ocorrencia_ES_54,15,Ocorrencia
0,3,ligacao_ocorrencia_ES_55,3,Ocorrencia
0,4,ligacao_ocorrencia_ES_56,36,Ocorrencia
0,5,ligacao_ocorrencia_ES_57,21,Ocorrencia
0,6,ligacao_ocorrencia_ES_58,1,Ocorrencia
0,7,ligacao_ocorrencia_ES_59,6,Ocorrencia
0,8,ligacao_categoria_ES_16,843,Categoria
0,9,ligacao_categoria_ES_17,37,Categoria
0,10,ligacao_evento_ES_105,7,Ocorrencia
0,11,ligacao_evento_ES_106,7,Ocorrencia
0,12,ligacao_evento_ES_107,7,Ocorrencia
0,13,ligacao_evento_ES_108,553,Ocorrencia
0,14,ligacao_evento_ES_109,7,Ocorrencia
0,15,ligacao_evento_ES_110,553,Ocorrencia
0,16,ligacao_evento_ES_111,553,Ocorrencia
0,17,ligacao_evento_ES_112,63,Ocorrencia
0,18,ligacao_evento_ES_113,7,Ocorrencia
0,19,ligacao_evento_ES_114,7,Ocorrencia
0,20,ligacao_evento_ES_115,7,Ocorrencia
0,21,ligacao_evento_ES_116,7,Ocorrencia
0,22,ligacao_evento_ES_117,553,Ocorrencia
0,23,ligacao_evento_ES_118,553,Ocorrencia
0,24,ligacao_evento_ES_119,7,Ocorrencia
