Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_GO_60,36,Ocorrencia
0,2,ligacao_ocorrencia_GO_61,45,Ocorrencia
0,3,ligacao_ocorrencia_GO_62,25,Ocorrencia
0,4,ligacao_ocorrencia_GO_63,32,Ocorrencia
0,5,ligacao_ocorrencia_GO_64,48,Ocorrencia
0,6,ligacao_ocorrencia_GO_65,14,Ocorrencia
0,7,ligacao_ocorrencia_GO_66,6,Ocorrencia
0,8,ligacao_ocorrencia_GO_67,3,Ocorrencia
0,9,ligacao_ocorrencia_GO_68,1,Ocorrencia
0,10,ligacao_categoria_GO_18,836,Categoria
0,11,ligacao_categoria_GO_19,45,Categoria
0,12,ligacao_evento_GO_120,7,Ocorrencia
0,13,ligacao_evento_GO_121,7,Ocorrencia
0,14,ligacao_evento_GO_122,7,Ocorrencia
0,15,ligacao_evento_GO_123,1729,Ocorrencia
0,16,ligacao_evento_GO_124,7,Ocorrencia
0,17,ligacao_evento_GO_125,1729,Ocorrencia
0,18,ligacao_evento_GO_126,1729,Ocorrencia
0,19,ligacao_evento_GO_127,63,Ocorrencia
0,20,ligacao_evento_GO_128,7,Ocorrencia
0,21,ligacao_evento_GO_129,7,Ocorrencia
0,22,ligacao_evento_GO_130,7,Ocorrencia
0,23,ligacao_evento_GO_131,7,Ocorrencia
0,24,ligacao_evento_GO_132,1729,Ocorrencia
0,25,ligacao_evento_GO_133,1729,Ocorrencia
0,26,ligacao_evento_GO_134,7,Ocorrencia
