Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_MA_69,5,Ocorrencia
0,2,ligacao_ocorrencia_MA_70,8,Ocorrencia
0,3,ligacao_ocorrencia_MA_71,13,Ocorrencia
0,4,ligacao_ocorrencia_MA_72,6,Ocorrencia
0,5,ligacao_ocorrencia_MA_73,13,Ocorrencia
0,6,ligacao_ocorrencia_MA_74,20,Ocorrencia
0,7,ligacao_ocorrencia_MA_75,5,Ocorrencia
0,8,ligacao_categoria_MA_20,100,Categoria
0,9,ligacao_categoria_MA_21,41,Categoria
0,10,ligacao_evento_MA_135,7,Ocorrencia
0,11,ligacao_evento_MA_136,7,Ocorrencia
0,12,ligacao_evento_MA_137,7,Ocorrencia
0,13,ligacao_evento_MA_138,1526,Ocorrencia
0,14,ligacao_evento_MA_139,7,Ocorrencia
0,15,ligacao_evento_MA_140,1526,Ocorrencia
0,16,ligacao_evento_MA_141,1526,Ocorrencia
0,17,ligacao_evento_MA_142,63,Ocorrencia
0,18,ligacao_evento_MA_143,7,Ocorrencia
0,19,ligacao_evento_MA_144,7,Ocorrencia
0,20,ligacao_evento_MA_145,7,Ocorrencia
0,21,ligacao_evento_MA_146,7,Ocorrencia
0,22,ligacao_evento_MA_147,1526,Ocorrencia
0,23,ligacao_evento_MA_148,1526,Ocorrencia
0,24,ligacao_evento_MA_149,7,Ocorrencia
