Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_MG_76,22,Ocorrencia
0,2,ligacao_ocorrencia_MG_77,37,Ocorrencia
0,3,ligacao_ocorrencia_MG_78,65,Ocorrencia
0,4,ligacao_ocorrencia_MG_79,42,Ocorrencia
0,5,ligacao_ocorrencia_MG_80,69,Ocorrencia
0,6,ligacao_ocorrencia_MG_81,27,Ocorrencia
0,7,ligacao_ocorrencia_MG_82,16,Ocorrencia
0,8,ligacao_ocorrencia_MG_83,14,Ocorrencia
0,9,ligacao_ocorrencia_MG_84,1,Ocorrencia
0,10,ligacao_categoria_MG_22,576,Categoria
0,11,ligacao_categoria_MG_23,179,Categoria
0,12,ligacao_evento_MG_150,7,Ocorrencia
0,13,ligacao_evento_MG_151,7,Ocorrencia
0,14,ligacao_evento_MG_152,7,Ocorrencia
0,15,ligacao_evento_MG_153,5978,Ocorrencia
0,16,ligacao_evento_MG_154,7,Ocorrencia
0,17,ligacao_evento_MG_155,5978,Ocorrencia
0,18,ligacao_evento_MG_156,5978,Ocorrencia
0,19,ligacao_evento_MG_157,63,Ocorrencia
0,20,ligacao_evento_MG_158,7,Ocorrencia
0,21,ligacao_evento_MG_159,7,Ocorrencia
0,22,ligacao_evento_MG_160,7,Ocorrencia
0,23,ligacao_evento_MG_161,7,Ocorrencia
0,24,ligacao_evento_MG_162,5978,Ocorrencia
0,25,ligacao_evento_MG_163,5978,Ocorrencia
0,26,ligacao_evento_MG_164,7,Ocorrencia
