Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_MS_85,10,Ocorrencia
0,2,ligacao_ocorrencia_MS_86,12,Ocorrencia
0,3,ligacao_ocorrencia_MS_87,13,Ocorrencia
0,4,ligacao_ocorrencia_MS_88,4,Ocorrencia
0,5,ligacao_ocorrencia_MS_89,6,Ocorrencia
0,6,ligacao_ocorrencia_MS_90,11,Ocorrencia
0,7,ligacao_ocorrencia_MS_91,2,Ocorrencia
0,8,ligacao_ocorrencia_MS_92,4,Ocorrencia
0,9,ligacao_categoria_MS_24,233,Categoria
0,10,ligacao_categoria_MS_25,33,Categoria
0,11,ligacao_evento_MS_165,7,Ocorrencia
0,12,ligacao_evento_MS_166,7,Ocorrencia
0,13,ligacao_evento_MS_167,7,Ocorrencia
0,14,ligacao_evento_MS_168,560,Ocorrencia
0,15,ligacao_evento_MS_169,7,Ocorrencia
0,16,ligacao_evento_MS_170,560,Ocorrencia
0,17,ligacao_evento_MS_171,560,Ocorrencia
0,18,ligacao_evento_MS_172,63,Ocorrencia
0,19,ligacao_evento_MS_173,7,Ocorrencia
0,20,ligacao_evento_MS_174,7,Ocorrencia
0,21,ligacao_evento_MS_175,7,Ocorrencia
0,22,ligacao_evento_MS_176,7,Ocorrencia
0,23,ligacao_evento_MS_177,560,Ocorrencia
0,24,ligacao_evento_MS_178,560,Ocorrencia
0,25,ligacao_evento_MS_179,7,Ocorrencia
