Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_MT_93,21,Ocorrencia
0,2,ligacao_ocorrencia_MT_94,12,Ocorrencia
0,3,ligacao_ocorrencia_MT_95,1,Ocorrencia
0,4,ligacao_ocorrencia_MT_96,7,Ocorrencia
0,5,ligacao_ocorrencia_MT_97,25,Ocorrencia
0,6,ligacao_ocorrencia_MT_98,52,Ocorrencia
0,7,ligacao_ocorrencia_MT_99,7,Ocorrencia
0,8,ligacao_ocorrencia_MT_100,4,Ocorrencia
0,9,ligacao_ocorrencia_MT_101,11,Ocorrencia
0,10,ligacao_ocorrencia_MT_102,2,Ocorrencia
0,11,ligacao_categoria_MT_26,214,Categoria
0,12,ligacao_categoria_MT_27,28,Categoria
0,13,ligacao_evento_MT_180,7,Ocorrencia
0,14,ligacao_evento_MT_181,7,Ocorrencia
0,15,ligacao_evento_MT_182,7,Ocorrencia
0,16,ligacao_evento_MT_183,994,Ocorrencia
0,17,ligacao_evento_MT_184,7,Ocorrencia
0,18,ligacao_evento_MT_185,994,Ocorrencia
0,19,ligacao_evento_MT_186,994,Ocorrencia
0,20,ligacao_evento_MT_187,63,Ocorrencia
0,21,ligacao_evento_MT_188,7,Ocorrencia
0,22,ligacao_evento_MT_189,7,Ocorrencia
0,23,ligacao_evento_MT_190,7,Ocorrencia
0,24,ligacao_evento_MT_191,7,Ocorrencia
0,25,ligacao_evento_MT_192,994,Ocorrencia
0,26,ligacao_evento_MT_193,994,Ocorrencia
0,27,ligacao_evento_MT_194,7,Ocorrencia
