Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_PA_103,2,Ocorrencia
0,2,ligacao_ocorrencia_PA_104,3,Ocorrencia
0,3,ligacao_ocorrencia_PA_105,12,Ocorrencia
0,4,ligacao_ocorrencia_PA_106,7,Ocorrencia
0,5,ligacao_ocorrencia_PA_107,42,Ocorrencia
0,6,ligacao_ocorrencia_PA_108,6,Ocorrencia
0,7,ligacao_ocorrencia_PA_109,2,Ocorrencia
0,8,ligacao_ocorrencia_PA_110,5,Ocorrencia
0,9,ligacao_categoria_PA_28,71,Categoria
0,10,ligacao_categoria_PA_29,71,Categoria
0,11,ligacao_categoria_PA_30,29,Categoria
0,12,ligacao_evento_PA_195,7,Ocorrencia
0,13,ligacao_evento_PA_196,7,Ocorrencia
0,14,ligacao_evento_PA_197,7,Ocorrencia
0,15,ligacao_evento_PA_198,1015,Ocorrencia
0,16,ligacao_evento_PA_199,7,Ocorrencia
0,17,ligacao_evento_PA_200,1015,Ocorrencia
0,18,ligacao_evento_PA_201,1015,Ocorrencia
0,19,ligacao_evento_PA_202,63,Ocorrencia
0,20,ligacao_evento_PA_203,7,Ocorrencia
0,21,ligacao_evento_PA_204,7,Ocorrencia
0,22,ligacao_evento_PA_205,7,Ocorrencia
0,23,ligacao_evento_PA_206,7,Ocorrencia
0,24,ligacao_evento_PA_207,1015,Ocorrencia
0,25,ligacao_evento_PA_208,1015,Ocorrencia
0,26,ligacao_evento_PA_209,7,Ocorrencia
