Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_PB_111,6,Ocorrencia
0,2,ligacao_ocorrencia_PB_112,25,Ocorrencia
0,3,ligacao_ocorrencia_PB_113,5,Ocorrencia
0,4,ligacao_ocorrencia_PB_114,2,Ocorrencia
0,5,ligacao_ocorrencia_PB_115,18,Ocorrencia
0,6,ligacao_ocorrencia_PB_116,5,Ocorrencia
0,7,ligacao_ocorrencia_PB_117,9,Ocorrencia
0,8,ligacao_ocorrencia_PB_118,3,Ocorrencia
0,9,ligacao_categoria_PB_31,37,Categoria
0,10,ligacao_categoria_PB_32,30,Categoria
0,11,ligacao_evento_PB_210,7,Ocorrencia
0,12,ligacao_evento_PB_211,7,Ocorrencia
0,13,ligacao_evento_PB_212,7,Ocorrencia
0,14,ligacao_evento_PB_213,1568,Ocorrencia
0,15,ligacao_evento_PB_214,7,Ocorrencia
0,16,ligacao_evento_PB_215,1568,Ocorrencia
0,17,ligacao_evento_PB_216,1568,Ocorrencia
0,18,ligacao_evento_PB_217,63,Ocorrencia
0,19,ligacao_evento_PB_218,7,Ocorrencia
0,20,ligacao_evento_PB_219,7,Ocorrencia
0,21,ligacao_evento_PB_220,7,Ocorrencia
0,22,ligacao_evento_PB_221,7,Ocorrencia
0,23,ligacao_evento_PB_222,1568,Ocorrencia
0,24,ligacao_evento_PB_223,1568,Ocorrencia
0,25,ligacao_evento_PB_224,7,Ocorrencia
