Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_PE_119,5,Ocorrencia
0,2,ligacao_ocorrencia_PE_120,9,Ocorrencia
0,3,ligacao_ocorrencia_PE_121,1,Ocorrencia
0,4,ligacao_ocorrencia_PE_122,20,Ocorrencia
0,5,ligacao_ocorrencia_PE_123,6,Ocorrencia
0,6,ligacao_ocorrencia_PE_124,19,Ocorrencia
0,7,ligacao_ocorrencia_PE_125,9,Ocorrencia
0,8,ligacao_ocorrencia_PE_126,4,Ocorrencia
0,9,ligacao_ocorrencia_PE_127,11,Ocorrencia
0,10,ligacao_categoria_PE_33,74,Categoria
0,11,ligacao_categoria_PE_34,62,Categoria
0,12,ligacao_evento_PE_225,7,Ocorrencia
0,13,ligacao_evento_PE_226,7,Ocorrencia
0,14,ligacao_evento_PE_227,7,Ocorrencia
0,15,ligacao_evento_PE_228,1302,Ocorrencia
0,16,ligacao_evento_PE_229,7,Ocorrencia
0,17,ligacao_evento_PE_230,1302,Ocorrencia
0,18,ligacao_evento_PE_231,1302,Ocorrencia
0,19,ligacao_evento_PE_232,63,Ocorrencia
0,20,ligacao_evento_PE_233,7,Ocorrencia
0,21,ligacao_evento_PE_234,7,Ocorrencia
0,22,ligacao_evento_PE_235,7,Ocorrencia
0,23,ligacao_evento_PE_236,7,Ocorrencia
0,24,ligacao_evento_PE_237,1302,Ocorrencia
0,25,ligacao_evento_PE_238,1302,Ocorrencia
0,26,ligacao_evento_PE_239,7,Ocorrencia
