Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_PI_128,35,Ocorrencia
0,2,ligacao_ocorrencia_PI_129,8,Ocorrencia
0,3,ligacao_ocorrencia_PI_130,2,Ocorrencia
0,4,ligacao_ocorrencia_PI_131,14,Ocorrencia
0,5,ligacao_ocorrencia_PI_132,5,Ocorrencia
0,6,ligacao_ocorrencia_PI_133,8,Ocorrencia
0,7,ligacao_ocorrencia_PI_134,2,Ocorrencia
0,8,ligacao_categoria_PI_35,199,Categoria
0,9,ligacao_categoria_PI_36,13,Categoria
0,10,ligacao_evento_PI_240,7,Ocorrencia
0,11,ligacao_evento_PI_241,7,Ocorrencia
0,12,ligacao_evento_PI_242,7,Ocorrencia
0,13,ligacao_evento_PI_243,1575,Ocorrencia
0,14,ligacao_evento_PI_244,7,Ocorrencia
0,15,ligacao_evento_PI_245,1575,Ocorrencia
0,16,ligacao_evento_PI_246,1575,Ocorrencia
0,17,ligacao_evento_PI_247,63,Ocorrencia
0,18,ligacao_evento_PI_248,7,Ocorrencia
0,19,ligacao_evento_PI_249,7,Ocorrencia
0,20,ligacao_evento_PI_250,7,Ocorrencia
0,21,ligacao_evento_PI_251,7,Ocorrencia
0,22,ligacao_evento_PI_252,1575,Ocorrencia
0,23,ligacao_evento_PI_253,1575,Ocorrencia
0,24,ligacao_evento_PI_254,7,Ocorrencia
