Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_PR_135,12,Ocorrencia
0,2,ligacao_ocorrencia_PR_136,47,Ocorrencia
0,3,ligacao_ocorrencia_PR_137,1,Ocorrencia
0,4,ligacao_ocorrencia_PR_138,36,Ocorrencia
0,5,ligacao_ocorrencia_PR_139,21,Ocorrencia
0,6,ligacao_ocorrencia_PR_140,56,Ocorrencia
0,7,ligacao_ocorrencia_PR_141,18,Ocorrencia
0,8,ligacao_ocorrencia_PR_142,16,Ocorrencia
0,9,ligacao_ocorrencia_PR_143,2,Ocorrencia
0,10,ligacao_ocorrencia_PR_144,3,Ocorrencia
0,11,ligacao_categoria_PR_37,368,Categoria
0,12,ligacao_categoria_PR_38,36,Categoria
0,13,ligacao_evento_PR_255,7,Ocorrencia
0,14,ligacao_evento_PR_256,7,Ocorrencia
0,15,ligacao_evento_PR_257,7,Ocorrencia
0,16,ligacao_evento_PR_258,2800,Ocorrencia
0,17,ligacao_evento_PR_259,7,Ocorrencia
0,18,ligacao_evento_PR_260,2800,Ocorrencia
0,19,ligacao_evento_PR_261,2800,Ocorrencia
0,20,ligacao_evento_PR_262,63,Ocorrencia
0,21,ligacao_evento_PR_263,7,Ocorrencia
0,22,ligacao_evento_PR_264,7,Ocorrencia
0,23,ligacao_evento_PR_265,7,Ocorrencia
0,24,ligacao_evento_PR_266,7,Ocorrencia
0,25,ligacao_evento_PR_267,2800,Ocorrencia
0,26,ligacao_evento_PR_268,2800,Ocorrencia
0,27,ligacao_evento_PR_269,7,Ocorrencia
