Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_RJ_145,2,Ocorrencia
0,2,ligacao_ocorrencia_RJ_146,18,Ocorrencia
0,3,ligacao_ocorrencia_RJ_147,11,Ocorrencia
0,4,ligacao_ocorrencia_RJ_148,49,Ocorrencia
0,5,ligacao_ocorrencia_RJ_149,3,Ocorrencia
0,6,ligacao_ocorrencia_RJ_150,29,Ocorrencia
0,7,ligacao_ocorrencia_RJ_151,8,Ocorrencia
0,8,ligacao_ocorrencia_RJ_152,2,Ocorrencia
0,9,ligacao_ocorrencia_RJ_153,8,Ocorrencia
0,10,ligacao_ocorrencia_RJ_154,7,Ocorrencia
0,11,ligacao_categoria_RJ_39,271,Categoria
0,12,ligacao_categoria_RJ_40,76,Categoria
0,13,ligacao_evento_RJ_270,7,Ocorrencia
0,14,ligacao_evento_RJ_271,7,Ocorrencia
0,15,ligacao_evento_RJ_272,7,Ocorrencia
0,16,ligacao_evento_RJ_273,651,Ocorrencia
0,17,ligacao_evento_RJ_274,7,Ocorrencia
0,18,ligacao_evento_RJ_275,651,Ocorrencia
0,19,ligacao_evento_RJ_276,651,Ocorrencia
0,20,ligacao_evento_RJ_277,63,Ocorrencia
0,21,ligacao_evento_RJ_278,7,Ocorrencia
0,22,ligacao_evento_RJ_279,7,Ocorrencia
0,23,ligacao_evento_RJ_280,7,Ocorrencia
0,24,ligacao_evento_RJ_281,7,Ocorrencia
0,25,ligacao_evento_RJ_282,651,Ocorrencia
0,26,ligacao_evento_RJ_283,651,Ocorrencia
0,27,ligacao_evento_RJ_284,7,Ocorrencia
