Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_RN_155,2,Ocorrencia
0,2,ligacao_ocorrencia_RN_156,48,Ocorrencia
0,3,ligacao_ocorrencia_RN_157,6,Ocorrencia
0,4,ligacao_ocorrencia_RN_158,6,Ocorrencia
0,5,ligacao_ocorrencia_RN_159,14,Ocorrencia
0,6,ligacao_ocorrencia_RN_160,21,Ocorrencia
0,7,ligacao_ocorrencia_RN_161,4,Ocorrencia
0,8,ligacao_categoria_RN_41,20,Categoria
0,9,ligacao_categoria_RN_42,32,Categoria
0,10,ligacao_evento_RN_285,7,Ocorrencia
0,11,ligacao_evento_RN_286,7,Ocorrencia
0,12,ligacao_evento_RN_287,7,Ocorrencia
0,13,ligacao_evento_RN_288,1176,Ocorrencia
0,14,ligacao_evento_RN_289,7,Ocorrencia
0,15,ligacao_evento_RN_290,1176,Ocorrencia
0,16,ligacao_evento_RN_291,1176,Ocorrencia
0,17,ligacao_evento_RN_292,63,Ocorrencia
0,18,ligacao_evento_RN_293,7,Ocorrencia
0,19,ligacao_evento_RN_294,7,Ocorrencia
0,20,ligacao_evento_RN_295,7,Ocorrencia
0,21,ligacao_evento_RN_296,7,Ocorrencia
0,22,ligacao_evento_RN_297,1176,Ocorrencia
0,23,ligacao_evento_RN_298,1176,Ocorrencia
0,24,ligacao_evento_RN_299,7,Ocorrencia
