Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_RO_162,6,Ocorrencia
0,2,ligacao_ocorrencia_RO_163,7,Ocorrencia
0,3,ligacao_ocorrencia_RO_164,17,Ocorrencia
0,4,ligacao_ocorrencia_RO_165,32,Ocorrencia
0,5,ligacao_ocorrencia_RO_166,6,Ocorrencia
0,6,ligacao_ocorrencia_RO_167,10,Ocorrencia
0,7,ligacao_ocorrencia_RO_168,5,Ocorrencia
0,8,ligacao_categoria_RO_43,1,Categoria
0,9,ligacao_categoria_RO_44,203,Categoria
0,10,ligacao_categoria_RO_45,21,Categoria
0,11,ligacao_evento_RO_300,7,Ocorrencia
0,12,ligacao_evento_RO_301,7,Ocorrencia
0,13,ligacao_evento_RO_302,7,Ocorrencia
0,14,ligacao_evento_RO_303,371,Ocorrencia
0,15,ligacao_evento_RO_304,7,Ocorrencia
0,16,ligacao_evento_RO_305,371,Ocorrencia
0,17,ligacao_evento_RO_306,371,Ocorrencia
0,18,ligacao_evento_RO_307,63,Ocorrencia
0,19,ligacao_evento_RO_308,7,Ocorrencia
0,20,ligacao_evento_RO_309,7,Ocorrencia
0,21,ligacao_evento_RO_310,7,Ocorrencia
0,22,ligacao_evento_RO_311,7,Ocorrencia
0,23,ligacao_evento_RO_312,371,Ocorrencia
0,24,ligacao_evento_RO_313,371,Ocorrencia
0,25,ligacao_evento_RO_314,7,Ocorrencia
