Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_RR_169,4,Ocorrencia
0,2,ligacao_ocorrencia_RR_170,1,Ocorrencia
0,3,ligacao_ocorrencia_RR_171,1,Ocorrencia
0,4,ligacao_ocorrencia_RR_172,1,Ocorrencia
0,5,ligacao_ocorrencia_RR_173,1,Ocorrencia
0,6,ligacao_categoria_RR_46,94,Categoria
0,7,ligacao_categoria_RR_47,15,Categoria
0,8,ligacao_evento_RR_315,7,Ocorrencia
0,9,ligacao_evento_RR_316,7,Ocorrencia
0,10,ligacao_evento_RR_317,7,Ocorrencia
0,11,ligacao_evento_RR_318,112,Ocorrencia
0,12,ligacao_evento_RR_319,7,Ocorrencia
0,13,ligacao_evento_RR_320,112,Ocorrencia
0,14,ligacao_evento_RR_321,112,Ocorrencia
0,15,ligacao_evento_RR_322,63,Ocorrencia
0,16,ligacao_evento_RR_323,7,Ocorrencia
0,17,ligacao_evento_RR_324,7,Ocorrencia
0,18,ligacao_evento_RR_325,7,Ocorrencia
0,19,ligacao_evento_RR_326,7,Ocorrencia
0,20,ligacao_evento_RR_327,112,Ocorrencia
0,21,ligacao_evento_RR_328,112,Ocorrencia
0,22,ligacao_evento_RR_329,7,Ocorrencia
