Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_RS_174,179,Ocorrencia
0,2,ligacao_ocorrencia_RS_175,640,Ocorrencia
0,3,ligacao_ocorrencia_RS_176,45,Ocorrencia
0,4,ligacao_ocorrencia_RS_177,175,Ocorrencia
0,5,ligacao_ocorrencia_RS_178,131,Ocorrencia
0,6,ligacao_ocorrencia_RS_179,321,Ocorrencia
0,7,ligacao_ocorrencia_RS_180,180,Ocorrencia
0,8,ligacao_ocorrencia_RS_181,9,Ocorrencia
0,9,ligacao_ocorrencia_RS_182,37,Ocorrencia
0,10,ligacao_ocorrencia_RS_183,2,Ocorrencia
0,11,ligacao_categoria_RS_48,2164,Categoria
0,12,ligacao_categoria_RS_49,65,Categoria
0,13,ligacao_evento_RS_330,7,Ocorrencia
0,14,ligacao_evento_RS_331,7,Ocorrencia
0,15,ligacao_evento_RS_332,7,Ocorrencia
0,16,ligacao_evento_RS_333,3486,Ocorrencia
0,17,ligacao_evento_RS_334,7,Ocorrencia
0,18,ligacao_evento_RS_335,3486,Ocorrencia
0,19,ligacao_evento_RS_336,3486,Ocorrencia
0,20,ligacao_evento_RS_337,63,Ocorrencia
0,21,ligacao_evento_RS_338,7,Ocorrencia
0,22,ligacao_evento_RS_339,7,Ocorrencia
0,23,ligacao_evento_RS_340,7,Ocorrencia
0,24,ligacao_evento_RS_341,7,Ocorrencia
0,25,ligacao_evento_RS_342,3486,Ocorrencia
0,26,ligacao_evento_RS_343,3486,Ocorrencia
0,27,ligacao_evento_RS_344,7,Ocorrencia
