Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_SC_184,63,Ocorrencia
0,2,ligacao_ocorrencia_SC_185,57,Ocorrencia
0,3,ligacao_ocorrencia_SC_186,4,Ocorrencia
0,4,ligacao_ocorrencia_SC_187,41,Ocorrencia
0,5,ligacao_ocorrencia_SC_188,12,Ocorrencia
0,6,ligacao_ocorrencia_SC_189,50,Ocorrencia
0,7,ligacao_ocorrencia_SC_190,60,Ocorrencia
0,8,ligacao_ocorrencia_SC_191,31,Ocorrencia
0,9,ligacao_ocorrencia_SC_192,5,Ocorrencia
0,10,ligacao_ocorrencia_SC_193,5,Ocorrencia
0,11,ligacao_categoria_SC_50,836,Categoria
0,12,ligacao_categoria_SC_51,38,Categoria
0,13,ligacao_evento_SC_345,7,Ocorrencia
0,14,ligacao_evento_SC_346,7,Ocorrencia
0,15,ligacao_evento_SC_347,7,Ocorrencia
0,16,ligacao_evento_SC_348,2072,Ocorrencia
0,17,ligacao_evento_SC_349,7,Ocorrencia
0,18,ligacao_evento_SC_350,2072,Ocorrencia
0,19,ligacao_evento_SC_351,2072,Ocorrencia
0,20,ligacao_evento_SC_352,63,Ocorrencia
0,21,ligacao_evento_SC_353,7,Ocorrencia
0,22,ligacao_evento_SC_354,7,Ocorrencia
0,23,ligacao_evento_SC_355,7,Ocorrencia
0,24,ligacao_evento_SC_356,7,Ocorrencia
0,25,ligacao_evento_SC_357,2072,Ocorrencia
0,26,ligacao_evento_SC_358,2072,Ocorrencia
0,27,ligacao_evento_SC_359,7,Ocorrencia
