Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_SE_194,5,Ocorrencia
0,2,ligacao_ocorrencia_SE_195,7,Ocorrencia
0,3,ligacao_ocorrencia_SE_196,5,Ocorrencia
0,4,ligacao_ocorrencia_SE_197,13,Ocorrencia
0,5,ligacao_ocorrencia_SE_198,2,Ocorrencia
0,6,ligacao_ocorrencia_SE_199,2,Ocorrencia
0,7,ligacao_ocorrencia_SE_200,14,Ocorrencia
0,8,ligacao_categoria_SE_52,34,Categoria
0,9,ligacao_categoria_SE_53,5,Categoria
0,10,ligacao_evento_SE_360,7,Ocorrencia
0,11,ligacao_evento_SE_361,7,Ocorrencia
0,12,ligacao_evento_SE_362,7,Ocorrencia
0,13,ligacao_evento_SE_363,532,Ocorrencia
0,14,ligacao_evento_SE_364,7,Ocorrencia
0,15,ligacao_evento_SE_365,532,Ocorrencia
0,16,ligacao_evento_SE_366,532,Ocorrencia
0,17,ligacao_evento_SE_367,63,Ocorrencia
0,18,ligacao_evento_SE_368,7,Ocorrencia
0,19,ligacao_evento_SE_369,7,Ocorrencia
0,20,ligacao_evento_SE_370,7,Ocorrencia
0,21,ligacao_evento_SE_371,7,Ocorrencia
0,22,ligacao_evento_SE_372,532,Ocorrencia
0,23,ligacao_evento_SE_373,532,Ocorrencia
0,24,ligacao_evento_SE_374,7,Ocorrencia
