Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_SP_201,106,Ocorrencia
0,2,ligacao_ocorrencia_SP_202,149,Ocorrencia
0,3,ligacao_ocorrencia_SP_203,3,Ocorrencia
0,4,ligacao_ocorrencia_SP_204,184,Ocorrencia
0,5,ligacao_ocorrencia_SP_205,29,Ocorrencia
0,6,ligacao_ocorrencia_SP_206,55,Ocorrencia
0,7,ligacao_ocorrencia_SP_207,53,Ocorrencia
0,8,ligacao_ocorrencia_SP_208,4,Ocorrencia
0,9,ligacao_ocorrencia_SP_209,22,Ocorrencia
0,10,ligacao_ocorrencia_SP_210,9,Ocorrencia
0,11,ligacao_categoria_SP_54,569,Categoria
0,12,ligacao_categoria_SP_55,390,Categoria
0,13,ligacao_evento_SP_375,7,Ocorrencia
0,14,ligacao_evento_SP_376,7,Ocorrencia
0,15,ligacao_evento_SP_377,7,Ocorrencia
0,16,ligacao_evento_SP_378,3876,Ocorrencia
0,17,ligacao_evento_SP_379,7,Ocorrencia
0,18,ligacao_evento_SP_380,3876,Ocorrencia
0,19,ligacao_evento_SP_381,3876,Ocorrencia
0,20,ligacao_evento_SP_382,63,Ocorrencia
0,21,ligacao_evento_SP_383,7,Ocorrencia
0,22,ligacao_evento_SP_384,7,Ocorrencia
0,23,ligacao_evento_SP_385,7,Ocorrencia
0,24,ligacao_evento_SP_386,7,Ocorrencia
0,25,ligacao_evento_SP_387,3876,Ocorrencia
0,26,ligacao_evento_SP_388,3876,Ocorrencia
0,27,ligacao_evento_SP_389,7,Ocorrencia
