Source,Target,Label,Weight,Edge_Type
0,1,ligacao_ocorrencia_TO_211,8,Ocorrencia
0,2,ligacao_ocorrencia_TO_212,1,Ocorrencia
0,3,ligacao_ocorrencia_TO_213,4,Ocorrencia
0,4,ligacao_ocorrencia_TO_214,5,Ocorrencia
0,5,ligacao_ocorrencia_TO_215,1,Ocorrencia
0,6,ligacao_ocorrencia_TO_216,1,Ocorrencia
0,7,ligacao_ocorrencia_TO_217,2,Ocorrencia
0,8,ligacao_categoria_TO_56,19,Categoria
0,9,ligacao_categoria_TO_57,14,Categoria
0,10,ligacao_evento_TO_390,7,Ocorrencia
0,11,ligacao_evento_TO_391,7,Ocorrencia
0,12,ligacao_evento_TO_392,7,Ocorrencia
0,13,ligacao_evento_TO_393,980,Ocorrencia
0,14,ligacao_evento_TO_394,7,Ocorrencia
0,15,ligacao_evento_TO_395,980,Ocorrencia
0,16,ligacao_evento_TO_396,980,Ocorrencia
0,17,ligacao_evento_TO_397,63,Ocorrencia
0,18,ligacao_evento_TO_398,7,Ocorrencia
0,19,ligacao_evento_TO_399,7,Ocorrencia
0,20,ligacao_evento_TO_400,7,Ocorrencia
0,21,ligacao_evento_TO_401,7,Ocorrencia
0,22,ligacao_evento_TO_402,980,Ocorrencia
0,23,ligacao_evento_TO_403,980,Ocorrencia
0,24,ligacao_evento_TO_404,7,Ocorrencia
