Source,Target,Label,Weight,Edge_Type
0,27,ligacao_ocorrencia_AC_0,6,Ocorrencia
0,28,ligacao_ocorrencia_AC_1,7,Ocorrencia
0,29,ligacao_ocorrencia_AC_2,2,Ocorrencia
0,30,ligacao_ocorrencia_AC_3,11,Ocorrencia
0,31,ligacao_ocorrencia_AC_4,18,Ocorrencia
0,32,ligacao_ocorrencia_AC_5,5,Ocorrencia
0,33,ligacao_ocorrencia_AC_6,1,Ocorrencia
0,38,ligacao_categoria_AC_0,29,Categoria
0,39,ligacao_categoria_AC_1,59,Categoria
0,40,ligacao_categoria_AC_2,4,Categoria
0,41,ligacao_evento_AC_0,7,Ocorrencia
0,42,ligacao_evento_AC_1,7,Ocorrencia
0,43,ligacao_evento_AC_2,7,Ocorrencia
0,44,ligacao_evento_AC_3,161,Ocorrencia
0,45,ligacao_evento_AC_4,7,Ocorrencia
0,46,ligacao_evento_AC_5,161,Ocorrencia
0,47,ligacao_evento_AC_6,161,Ocorrencia
0,48,ligacao_evento_AC_7,63,Ocorrencia
0,49,ligacao_evento_AC_8,7,Ocorrencia
0,50,ligacao_evento_AC_9,7,Ocorrencia
0,51,ligacao_evento_AC_10,7,Ocorrencia
0,52,ligacao_evento_AC_11,7,Ocorrencia
0,53,ligacao_evento_AC_12,161,Ocorrencia
0,54,ligacao_evento_AC_13,161,Ocorrencia
0,55,ligacao_evento_AC_14,7,Ocorrencia
1,27,ligacao_ocorrencia_AL_7,1,Ocorrencia
1,28,ligacao_ocorrencia_AL_8,3,Ocorrencia
1,29,ligacao_ocorrencia_AL_9,3,Ocorrencia
1,30,ligacao_ocorrencia_AL_10,15,Ocorrencia
1,31,ligacao_ocorrencia_AL_11,23,Ocorrencia
1,32,ligacao_ocorrencia_AL_12,1,Ocorrencia
1,33,ligacao_ocorrencia_AL_13,2,Ocorrencia
1,39,ligacao_categoria_AL_3,69,Categoria
1,40,ligacao_categoria_AL_4,20,Categoria
1,41,ligacao_evento_AL_15,7,Ocorrencia
1,42,ligacao_evento_AL_16,7,Ocorrencia
1,43,ligacao_evento_AL_17,7,Ocorrencia
1,44,ligacao_evento_AL_18,721,Ocorrencia
1,45,ligacao_evento_AL_19,7,Ocorrencia
1,46,ligacao_evento_AL_20,721,Ocorrencia
1,47,ligacao_evento_AL_21,721,Ocorrencia
1,48,ligacao_evento_AL_22,63,Ocorrencia
1,49,ligacao_evento_AL_23,7,Ocorrencia
1,50,ligacao_evento_AL_24,7,Ocorrencia
1,51,ligacao_evento_AL_25,7,Ocorrencia
1,52,ligacao_evento_AL_26,7,Ocorrencia
1,53,ligacao_evento_AL_27,721,Ocorrencia
1,54,ligacao_evento_AL_28,721,Ocorrencia
1,55,ligacao_evento_AL_29,7,Ocorrencia
2,27,ligacao_ocorrencia_AM_14,1,Ocorrencia
2,28,ligacao_ocorrencia_AM_15,2,Ocorrencia
2,29,ligacao_ocorrencia_AM_16,10,Ocorrencia
2,30,ligacao_ocorrencia_AM_17,14,Ocorrencia
2,31,ligacao_ocorrencia_AM_18,6,Ocorrencia
2,32,ligacao_ocorrencia_AM_19,2,Ocorrencia
2,33,ligacao_ocorrencia_AM_20,2,Ocorrencia
2,34,ligacao_ocorrencia_AM_21,1,Ocorrencia
2,38,ligacao_categoria_AM_5,2,Categoria
2,39,ligacao_categoria_AM_6,152,Categoria
2,40,ligacao_categoria_AM_7,8,Categoria
2,41,ligacao_evento_AM_30,7,Ocorrencia
2,42,ligacao_evento_AM_31,7,Ocorrencia
2,43,ligacao_evento_AM_32,7,Ocorrencia
2,44,ligacao_evento_AM_33,441,Ocorrencia
2,45,ligacao_evento_AM_34,7,Ocorrencia
2,46,ligacao_evento_AM_35,441,Ocorrencia
2,47,ligacao_evento_AM_36,441,Ocorrencia
2,48,ligacao_evento_AM_37,63,Ocorrencia
2,49,ligacao_evento_AM_38,7,Ocorrencia
2,50,ligacao_evento_AM_39,7,Ocorrencia
2,51,ligacao_evento_AM_40,7,Ocorrencia
2,52,ligacao_evento_AM_41,7,Ocorrencia
2,53,ligacao_evento_AM_42,441,Ocorrencia
2,54,ligacao_evento_AM_43,441,Ocorrencia
2,55,ligacao_evento_AM_44,7,Ocorrencia
3,28,ligacao_ocorrencia_AP_22,2,Ocorrencia
3,29,ligacao_ocorrencia_AP_23,3,Ocorrencia
3,31,ligacao_ocorrencia_AP_24,4,Ocorrencia
3,32,ligacao_ocorrencia_AP_25,2,Ocorrencia
3,39,ligacao_categoria_AP_8,18,Categoria
3,40,ligacao_categoria_AP_9,13,Categoria
3,41,ligacao_evento_AP_45,7,Ocorrencia
3,42,ligacao_evento_AP_46,7,Ocorrencia
3,43,ligacao_evento_AP_47,7,Ocorrencia
3,44,ligacao_evento_AP_48,119,Ocorrencia
3,45,ligacao_evento_AP_49,7,Ocorrencia
3,46,ligacao_evento_AP_50,119,Ocorrencia
3,47,ligacao_evento_AP_51,119,Ocorrencia
3,48,ligacao_evento_AP_52,63,Ocorrencia
3,49,ligacao_evento_AP_53,7,Ocorrencia
3,50,ligacao_evento_AP_54,7,Ocorrencia
3,51,ligacao_evento_AP_55,7,Ocorrencia
3,52,ligacao_evento_AP_56,7,Ocorrencia
3,53,ligacao_evento_AP_57,119,Ocorrencia
3,54,ligacao_evento_AP_58,119,Ocorrencia
3,55,ligacao_evento_AP_59,7,Ocorrencia
4,27,ligacao_ocorrencia_BA_26,11,Ocorrencia
4,28,ligacao_ocorrencia_BA_27,7,Ocorrencia
4,29,ligacao_ocorrencia_BA_29,18,Ocorrencia
4,30,ligacao_ocorrencia_BA_30,6,Ocorrencia
4,31,ligacao_ocorrencia_BA_31,19,Ocorrencia
4,32,ligacao_ocorrencia_BA_32,15,Ocorrencia
4,33,ligacao_ocorrencia_BA_34,5,Ocorrencia
4,34,ligacao_ocorrencia_BA_35,2,Ocorrencia
4,35,ligacao_ocorrencia_BA_28,1,Ocorrencia
4,36,ligacao_ocorrencia_BA_33,6,Ocorrencia
4,39,ligacao_categoria_BA_10,160,Categoria
4,40,ligacao_categoria_BA_11,79,Categoria
4,41,ligacao_evento_BA_60,7,Ocorrencia
4,42,ligacao_evento_BA_61,7,Ocorrencia
4,43,ligacao_evento_BA_62,7,Ocorrencia
4,44,ligacao_evento_BA_63,2926,Ocorrencia
4,45,ligacao_evento_BA_64,7,Ocorrencia
4,46,ligacao_evento_BA_65,2926,Ocorrencia
4,47,ligacao_evento_BA_66,2926,Ocorrencia
4,48,ligacao_evento_BA_67,63,Ocorrencia
4,49,ligacao_evento_BA_68,7,Ocorrencia
4,50,ligacao_evento_BA_69,7,Ocorrencia
4,51,ligacao_evento_BA_70,7,Ocorrencia
4,52,ligacao_evento_BA_71,7,Ocorrencia
4,53,ligacao_evento_BA_72,2926,Ocorrencia
4,54,ligacao_evento_BA_73,2926,Ocorrencia
4,55,ligacao_evento_BA_74,7,Ocorrencia
5,27,ligacao_ocorrencia_CE_36,14,Ocorrencia
5,28,ligacao_ocorrencia_CE_37,48,Ocorrencia
5,29,ligacao_ocorrencia_CE_38,18,Ocorrencia
5,30,ligacao_ocorrencia_CE_39,5,Ocorrencia
5,31,ligacao_ocorrencia_CE_40,19,Ocorrencia
5,32,ligacao_ocorrencia_CE_41,27,Ocorrencia
5,33,ligacao_ocorrencia_CE_43,3,Ocorrencia
5,34,ligacao_ocorrencia_CE_44,1,Ocorrencia
5,36,ligacao_ocorrencia_CE_42,24,Ocorrencia
5,39,ligacao_categoria_CE_12,106,Categoria
5,40,ligacao_categoria_CE_13,39,Categoria
5,41,ligacao_evento_CE_75,7,Ocorrencia
5,42,ligacao_evento_CE_76,7,Ocorrencia
5,43,ligacao_evento_CE_77,7,Ocorrencia
5,44,ligacao_evento_CE_78,1295,Ocorrencia
5,45,ligacao_evento_CE_79,7,Ocorrencia
5,46,ligacao_evento_CE_80,1295,Ocorrencia
5,47,ligacao_evento_CE_81,1295,Ocorrencia
5,48,ligacao_evento_CE_82,63,Ocorrencia
5,49,ligacao_evento_CE_83,7,Ocorrencia
5,50,ligacao_evento_CE_84,7,Ocorrencia
5,51,ligacao_evento_CE_85,7,Ocorrencia
5,52,ligacao_evento_CE_86,7,Ocorrencia
5,53,ligacao_evento_CE_87,1295,Ocorrencia
5,54,ligacao_evento_CE_88,1295,Ocorrencia
5,55,ligacao_evento_CE_89,7,Ocorrencia
6,27,ligacao_ocorrencia_DF_45,2,Ocorrencia
6,28,ligacao_ocorrencia_DF_46,36,Ocorrencia
6,29,ligacao_ocorrencia_DF_47,26,Ocorrencia
6,30,ligacao_ocorrencia_DF_48,8,Ocorrencia
6,31,ligacao_ocorrencia_DF_49,15,Ocorrencia
6,32,ligacao_ocorrencia_DF_50,10,Ocorrencia
6,33,ligacao_ocorrencia_DF_52,1,Ocorrencia
6,36,ligacao_ocorrencia_DF_51,34,Ocorrencia
6,39,ligacao_categoria_DF_14,58,Categoria
6,40,ligacao_categoria_DF_15,21,Categoria
6,41,ligacao_evento_DF_90,7,Ocorrencia
6,42,ligacao_evento_DF_91,7,Ocorrencia
6,43,ligacao_evento_DF_92,7,Ocorrencia
6,44,ligacao_evento_DF_93,238,Ocorrencia
6,45,ligacao_evento_DF_94,7,Ocorrencia
6,46,ligacao_evento_DF_95,238,Ocorrencia
