ID,Label
0,AP
1,Apreensão de Arma de Fogo
2,Campanha do Desarmamento
3,Furto de Arma de Fogo
4,Recuperação de Arma de Fogo
5,Cidadão
6,Servidor Público(Porte por prerrogativa de função)
7,Apreensão de Cocaína
8,Apreensão de Maconha
9,Estupro
10,Feminicídio
11,Furto de veículo
12,Homicídio doloso
13,Lesão corporal seguida de morte
14,Morte de Agente do Estado
15,Morte por intervenção de Agente do Estado
16,Roubo a instituição financeira
17,Roubo de carga
18,Roubo de veículo
19,Roubo seguido de morte (latrocínio)
20,Tentativa de homicídio
21,Tráfico de drogas
