ID,Label
0,ES
1,Apreensão de Arma de Fogo
2,Campanha do Desarmamento
3,Extravio/Perda de Arma de Fogo
4,Furto de Arma de Fogo
5,Recuperação de Arma de Fogo
6,Remetida ao Exército para destruição
7,Roubo de Arma de Fogo
8,Cidadão
9,Servidor Público(Porte por prerrogativa de função)
10,Apreensão de Cocaína
11,Apreensão de Maconha
12,Estupro
13,Feminicídio
14,Furto de veículo
15,Homicídio doloso
16,Lesão corporal seguida de morte
17,Morte de Agente do Estado
18,Morte por intervenção de Agente do Estado
19,Roubo a instituição financeira
20,Roubo de carga
21,Roubo de veículo
22,Roubo seguido de morte (latrocínio)
23,Tentativa de homicídio
24,Tráfico de drogas
