ID,Label
0,MS
1,Apostilada no Exercito
2,Apreensão de Arma de Fogo
3,Campanha do Desarmamento
4,Extravio/Perda de Arma de Fogo
5,Furto de Arma de Fogo
6,Recuperação de Arma de Fogo
7,Remetida ao Exército para destruição
8,Sub Judice
9,Cidadão
10,Servidor Público(Porte por prerrogativa de função)
11,Apreensão de Cocaína
12,Apreensão de Maconha
13,Estupro
14,Feminicídio
15,Furto de veículo
16,Homicídio doloso
17,Lesão corporal seguida de morte
18,Morte de Agente do Estado
19,Morte por intervenção de Agente do Estado
20,Roubo a instituição financeira
21,Roubo de carga
22,Roubo de veículo
23,Roubo seguido de morte (latrocínio)
24,Tentativa de homicídio
25,Tráfico de drogas
