ID,Label
0,PE
1,Apostilada no Exercito
2,Apreensão de Arma de Fogo
3,Arrecadação
4,Campanha do Desarmamento
5,Extravio/Perda de Arma de Fogo
6,Furto de Arma de Fogo
7,Recuperação de Arma de Fogo
8,Remetida ao Exército para destruição
9,Roubo de Arma de Fogo
10,Cidadão
11,Servidor Público(Porte por prerrogativa de função)
12,Apreensão de Cocaína
13,Apreensão de Maconha
14,Estupro
15,Feminicídio
16,Furto de veículo
17,Homicídio doloso
18,Lesão corporal seguida de morte
19,Morte de Agente do Estado
20,Morte por intervenção de Agente do Estado
21,Roubo a instituição financeira
22,Roubo de carga
23,Roubo de veículo
24,Roubo seguido de morte (latrocínio)
25,Tentativa de homicídio
26,Tráfico de drogas
