ID,Label
0,RO
1,Apreensão de Arma de Fogo
2,Campanha do Desarmamento
3,Extravio/Perda de Arma de Fogo
4,Furto de Arma de Fogo
5,Recuperação de Arma de Fogo
6,Remetida ao Exército para destruição
7,Roubo de Arma de Fogo
8,Caçador de Subsistência
9,Cidadão
10,Servidor Público(Porte por prerrogativa de função)
11,Apreensão de Cocaína
12,Apreensão de Maconha
13,Estupro
14,Feminicídio
15,Furto de veículo
16,Homicídio doloso
17,Lesão corporal seguida de morte
18,Morte de Agente do Estado
19,Morte por intervenção de Agente do Estado
20,Roubo a instituição financeira
21,Roubo de carga
22,Roubo de veículo
23,Roubo seguido de morte (latrocínio)
24,Tentativa de homicídio
25,Tráfico de drogas
