ID,Label
0,RR
1,Apostilada no Exercito
2,Campanha do Desarmamento
3,Extravio/Perda de Arma de Fogo
4,Furto de Arma de Fogo
5,Roubo de Arma de Fogo
6,Cidadão
7,Servidor Público(Porte por prerrogativa de função)
8,Apreensão de Cocaína
9,Apreensão de Maconha
10,Estupro
11,Feminicídio
12,Furto de veículo
13,Homicídio doloso
14,Lesão corporal seguida de morte
15,Morte de Agente do Estado
16,Morte por intervenção de Agente do Estado
17,Roubo a instituição financeira
18,Roubo de carga
19,Roubo de veículo
20,Roubo seguido de morte (latrocínio)
21,Tentativa de homicídio
22,Tráfico de drogas
