ID,Label
0,AC
1,AL
2,AM
3,AP
4,BA
5,CE
6,DF
7,ES
8,GO
9,MA
10,MG
11,MS
12,MT
13,PA
14,PB
15,PE
16,PI
17,PR
18,RJ
19,RN
20,RO
21,RR
22,RS
23,SC
24,SE
25,SP
26,TO
27,Apostilada no Exercito
28,Apreensão de Arma de Fogo
29,Campanha do Desarmamento
30,Extravio/Perda de Arma de Fogo
31,Furto de Arma de Fogo
32,Recuperação de Arma de Fogo
33,Roubo de Arma de Fogo
34,Sub Judice
35,Arrecadação
36,Remetida ao Exército para destruição
37,Alteração da Arma de Porte
38,Caçador de Subsistência
39,Cidadão
40,Servidor Público(Porte por prerrogativa de função)
41,Apreensão de Cocaína
42,Apreensão de Maconha
43,Estupro
44,Feminicídio
45,Furto de veículo
46,Homicídio doloso
47,Lesão corporal seguida de morte
48,Morte de Agente do Estado
49,Morte por intervenção de Agente do Estado
50,Roubo a instituição financeira
51,Roubo de carga
52,Roubo de veículo
53,Roubo seguido de morte (latrocínio)
54,Tentativa de homicídio
55,Tráfico de drogas
